STT,Component,Variant,Keywords,HTML Structure,Tailwind Classes,Best For,Notes
1,Hero,Centered,"hero, centered, simple, minimal","<section class='hero-centered'><div class='container'><h1>Title</h1><p>Subtitle</p><div class='cta-group'><button>Primary</button><button>Secondary</button></div></div></section>","min-h-screen flex items-center justify-center text-center px-4, container: max-w-4xl mx-auto, h1: text-4xl md:text-6xl font-bold mb-6, p: text-xl text-gray-600 mb-8, cta-group: flex gap-4 justify-center","Landing pages, SaaS, portfolios",Clean and focused
2,Hero,Split Image,"hero, split, image, product","<section class='hero-split'><div class='grid'><div class='content'><h1>Title</h1><p>Description</p><button>CTA</button></div><div class='image'><img src='' alt=''/></div></div></section>","min-h-screen grid md:grid-cols-2 items-center gap-8 px-4, content: space-y-6, h1: text-4xl md:text-5xl font-bold, p: text-lg text-gray-600, image: relative aspect-square md:aspect-auto","Product launches, e-commerce, apps",Image on right by default
3,Hero,Video Background,"hero, video, immersive, fullscreen","<section class='hero-video'><video autoplay muted loop playsinline><source src='' type='video/mp4'/></video><div class='overlay'></div><div class='content'><h1>Title</h1><p>Subtitle</p></div></section>","relative min-h-screen overflow-hidden, video: absolute inset-0 w-full h-full object-cover, overlay: absolute inset-0 bg-black/50, content: relative z-10 flex items-center justify-center min-h-screen text-white text-center","Entertainment, luxury, events",Ensure video is optimized
4,Hero,Gradient Animated,"hero, gradient, animated, modern","<section class='hero-gradient'><div class='bg-gradient'></div><div class='content'><h1>Title</h1></div></section>","relative min-h-screen overflow-hidden, bg-gradient: absolute inset-0 bg-gradient-to-br from-purple-600 via-pink-500 to-orange-400 animate-gradient-xy, content: relative z-10","Tech startups, creative, modern",Use CSS animation for gradient movement
5,Hero,3D Floating,"hero, 3d, floating, depth","<section class='hero-3d'><div class='floating-cards'><div class='card'></div></div><div class='content'><h1>Title</h1></div></section>","relative min-h-screen perspective-1000, floating-cards: absolute inset-0, card: transform rotate-y-12 rotate-x-6 hover:rotate-0 transition-transform duration-500","SaaS, dashboards, tech products",Add multiple floating elements
6,Navbar,Floating Glass,"navbar, floating, glass, modern","<nav class='navbar-glass'><div class='container'><a class='logo'>Logo</a><ul class='nav-links'><li><a>Link</a></li></ul><button>CTA</button></div></nav>","fixed top-4 left-4 right-4 z-50 backdrop-blur-xl bg-white/80 dark:bg-gray-900/80 rounded-2xl border border-white/20 shadow-lg, container: flex items-center justify-between px-6 py-3 max-w-7xl mx-auto","Modern SaaS, portfolios, agencies",Add scroll behavior for transparency change
7,Navbar,Minimal,"navbar, minimal, clean, simple","<nav class='navbar-minimal'><div class='container'><a class='logo'>Logo</a><ul class='nav-links'><li><a>Link</a></li></ul></div></nav>","sticky top-0 z-50 bg-white dark:bg-gray-900 border-b border-gray-200, container: flex items-center justify-between px-6 py-4 max-w-7xl mx-auto","Documentation, blogs, simple sites",Clean and functional
8,Navbar,Mega Menu,"navbar, mega, enterprise, complex","<nav class='navbar-mega'><div class='container'><a class='logo'>Logo</a><ul class='nav-links'><li class='has-mega'><a>Products</a><div class='mega-panel'></div></li></ul></div></nav>","relative z-50 bg-white shadow-sm, mega-panel: absolute left-0 right-0 top-full bg-white shadow-xl p-8 grid grid-cols-4 gap-8 opacity-0 invisible group-hover:opacity-100 group-hover:visible transition-all","Enterprise, SaaS with multiple products",Use group hover for mega menu
9,Card,Glass,"card, glass, modern, blur","<div class='card-glass'><div class='icon'></div><h3>Title</h3><p>Description</p></div>","backdrop-blur-xl bg-white/10 dark:bg-white/5 rounded-2xl p-6 border border-white/20 hover:bg-white/20 transition-all duration-300","Modern dashboards, dark themes, overlay content",Needs vibrant background
10,Card,Elevated,"card, elevated, shadow, clean","<div class='card-elevated'><img src='' alt=''/><div class='content'><h3>Title</h3><p>Description</p></div></div>","bg-white dark:bg-gray-800 rounded-xl shadow-lg hover:shadow-2xl hover:-translate-y-1 transition-all duration-300 overflow-hidden","E-commerce, portfolios, blogs",Classic elevated style
