STT,Layout,Type,Keywords,Structure,Tailwind Grid/Flex,Responsive,Best For,Notes
1,Single Column,Page,"single, column, simple","header + main + footer","flex flex-col min-h-screen, main: flex-1 max-w-3xl mx-auto px-4","Same all sizes",Blogs articles docs,Simple and readable
2,Two Column Sidebar Left,Page,"sidebar, left, dashboard","aside + main","flex, aside: w-64 shrink-0, main: flex-1","md:flex, mobile: stacked",Dashboards admin,Fixed sidebar width
3,Two Column Sidebar Right,Page,"sidebar, right, content","main + aside","flex, main: flex-1, aside: w-80 shrink-0","lg:flex, mobile: hidden",Blogs with TOC,Sticky sidebar
4,Three Column,Page,"three, columns, complex","left-sidebar + main + right-sidebar","grid grid-cols-12, left: col-span-2, main: col-span-8, right: col-span-2","xl only, stack on smaller",Enterprise dashboards,Complex layouts
5,Holy Grail,Page,"holy, grail, classic","header + (sidebar + main + sidebar) + footer","flex flex-col, middle: flex flex-1","Responsive sidebars",Traditional sites,Classic web layout
6,Header Hero Content,Landing,"hero, centric, landing","fixed-header + full-hero + content-sections + footer","","Hero 100vh, sections stack",Landing pages,Scroll-based
7,Split Screen,Page,"split, 50-50, dual","left-panel + right-panel","grid md:grid-cols-2 min-h-screen","Stack on mobile",Auth pages comparisons,Equal halves
8,Card Grid Auto,Grid,"grid, auto, responsive","container with cards","grid grid-cols-1 sm:grid-cols-2 lg:grid-cols-3 xl:grid-cols-4 gap-6","Auto columns",Product grids portfolios,Auto-fill preferred
9,Card Grid Fixed,Grid,"grid, fixed, columns","container with cards","grid grid-cols-3 gap-6","Fixed columns adjust gap",Dashboards,Controlled layout
10,Masonry,Grid,"masonry, pinterest","multi-column with varied heights","columns-2 md:columns-3 lg:columns-4 gap-4, cards: break-inside-avoid mb-4","Columns adjust",Image galleries,CSS columns or JS
11,Bento Grid,Grid,"bento, apple, varied","grid with varying spans","grid grid-cols-4 gap-4, items vary col-span/row-span","Simplify on mobile",Feature showcases,Apple-style
12,Feature Grid 2x2,Grid,"features, 2x2","4 feature cards in grid","grid grid-cols-1 md:grid-cols-2 gap-8","2 cols on md+",Feature sections,Balanced layout
13,Feature Grid 3x1,Grid,"features, 3x1","3 feature cards in row","grid grid-cols-1 md:grid-cols-3 gap-8","3 cols on md+",Benefits icons,Common pattern
14,Feature Grid 4x1,Grid,"features, 4x1","4 feature cards in row","grid grid-cols-2 lg:grid-cols-4 gap-6","4 on lg, 2 on sm",Stats features,Tight spacing
